SaleID,TimeKey,RegionKey,ProductKey,Quantity,UnitPrice,TotalAmount,Discount,Profit
1001,20240101,1,101,5,29.99,149.95,0.00,45.00
1002,20240101,2,102,3,49.99,149.97,15.00,60.00
1003,20240102,1,103,2,99.99,199.98,0.00,80.00
1004,20240102,3,101,7,29.99,209.93,10.00,70.00
1005,20240103,2,104,1,199.99,199.99,0.00,100.00
1006,20240103,4,105,4,79.99,319.96,20.00,120.00
1007,20240104,1,106,2,299.99,599.98,0.00,180.00
1008,20240104,3,107,1,399.99,399.99,25.00,150.00
1009,20240105,2,108,6,19.99,119.94,0.00,36.00
1010,20240105,4,101,3,29.99,89.97,5.00,27.00
1011,20240106,1,102,2,49.99,99.98,0.00,30.00
1012,20240106,3,103,5,99.99,499.95,30.00,200.00
1013,20240107,2,104,1,199.99,199.99,0.00,100.00
1014,20240107,4,105,3,79.99,239.97,15.00,96.00
1015,20240108,1,106,1,299.99,299.99,0.00,90.00
1016,20240108,3,107,2,399.99,799.98,40.00,300.00
1017,20240109,2,108,8,19.99,159.92,0.00,48.00
1018,20240109,4,101,4,29.99,119.96,0.00,36.00
1019,20240110,1,102,1,49.99,49.99,0.00,15.00
1020,20240110,3,103,3,99.99,299.97,20.00,120.00
1021,20240111,2,104,2,199.99,399.98,0.00,200.00
1022,20240111,4,105,5,79.99,399.95,25.00,160.00
1023,20240112,1,106,1,299.99,299.99,0.00,90.00
1024,20240112,3,107,3,399.99,1199.97,60.00,450.00
1025,20240113,2,108,7,19.99,139.93,0.00,42.00
1026,20240113,4,101,2,29.99,59.98,0.00,18.00
1027,20240114,1,102,4,49.99,199.96,10.00,78.00
1028,20240114,3,103,1,99.99,99.99,0.00,40.00
1029,20240115,2,104,3,199.99,599.97,30.00,270.00
1030,20240115,4,105,2,79.99,159.98,0.00,64.00
1031,20240116,1,106,2,299.99,599.98,0.00,180.00
1032,20240116,3,107,1,399.99,399.99,20.00,160.00
1033,20240117,2,108,9,19.99,179.91,0.00,54.00
1034,20240117,4,101,5,29.99,149.95,15.00,60.00
1035,20240118,1,102,2,49.99,99.98,0.00,30.00
1036,20240118,3,103,4,99.99,399.96,25.00,175.00
1037,20240119,2,104,1,199.99,199.99,0.00,100.00
1038,20240119,4,105,3,79.99,239.97,10.00,106.00
1039,20240120,1,106,1,299.99,299.99,0.00,90.00
1040,20240120,3,107,2,399.99,799.98,35.00,315.00
1041,20240201,2,108,6,19.99,119.94,0.00,36.00
1042,20240201,4,101,3,29.99,89.97,0.00,27.00
1043,20240202,1,102,1,49.99,49.99,0.00,15.00
1044,20240202,3,103,2,99.99,199.98,10.00,90.00
1045,20240203,2,104,4,199.99,799.96,40.00,360.00
1046,20240203,4,105,1,79.99,79.99,0.00,32.00
1047,20240204,1,106,3,299.99,899.97,45.00,405.00
1048,20240204,3,107,1,399.99,399.99,0.00,160.00
1049,20240205,2,108,8,19.99,159.92,0.00,48.00
1050,20240205,4,101,2,29.99,59.98,0.00,18.00
1051,20240301,1,102,5,49.99,249.95,20.00,95.00
1052,20240301,3,103,3,99.99,299.97,0.00,120.00
1053,20240302,2,104,2,199.99,399.98,15.00,185.00
1054,20240302,4,105,4,79.99,319.96,25.00,145.00
1055,20240303,1,106,1,299.99,299.99,0.00,90.00
1056,20240303,3,107,2,399.99,799.98,30.00,330.00
1057,20240304,2,108,7,19.99,139.93,0.00,42.00
1058,20240304,4,101,6,29.99,179.94,10.00,64.00
1059,20240305,1,102,3,49.99,149.97,0.00,45.00
1060,20240305,3,103,1,99.99,99.99,0.00,40.00
1061,20240401,2,104,3,199.99,599.97,25.00,275.00
1062,20240401,4,105,2,79.99,159.98,0.00,64.00
1063,20240402,1,106,2,299.99,599.98,35.00,245.00
1064,20240402,3,107,1,399.99,399.99,0.00,160.00
1065,20240403,2,108,9,19.99,179.91,0.00,54.00
1066,20240403,4,101,4,29.99,119.96,0.00,36.00
1067,20240404,1,102,2,49.99,99.98,5.00,35.00
1068,20240404,3,103,5,99.99,499.95,40.00,240.00
1069,20240405,2,104,1,199.99,199.99,0.00,100.00
1070,20240405,4,105,3,79.99,239.97,15.00,111.00
1071,20240501,1,106,1,299.99,299.99,0.00,90.00
1072,20240501,3,107,2,399.99,799.98,30.00,330.00
1073,20240502,2,108,8,19.99,159.92,0.00,48.00
1074,20240502,4,101,3,29.99,89.97,0.00,27.00
1075,20240503,1,102,1,49.99,49.99,0.00,15.00
1076,20240503,3,103,4,99.99,399.96,20.00,180.00
1077,20240504,2,104,2,199.99,399.98,10.00,190.00
1078,20240504,4,105,5,79.99,399.95,35.00,165.00
